application_id,experience_years,education,skill_match_score,shortlisted
AP0001,5.5,PhD,76.1,Yes
AP0002,12.8,UG,92.6,Yes
AP0003,10.4,PG,67.2,Yes
AP0004,4.4,PG,57.3,No
AP0005,3.4,PG,47.0,No
AP0006,6.5,Diploma,53.6,No
AP0007,8.4,Diploma,81.3,No
AP0008,7.6,PhD,79.0,Yes
AP0009,14.6,PG,82.9,Yes
AP0010,4.1,PhD,80.4,Yes
AP0011,12.2,UG,68.6,Yes
AP0012,8.1,PG,57.2,No
AP0013,6.3,PhD,64.0,No
AP0014,10.5,UG,74.2,Yes
AP0015,4.6,UG,76.7,No
AP0016,7.7,Diploma,71.8,No
AP0017,5.1,PG,91.6,Yes
AP0018,4.7,Diploma,49.3,No
AP0019,2.9,UG,88.8,Yes
AP0020,7.6,Diploma,76.3,Yes
AP0021,2.4,PG,97.0,Yes
AP0022,12.1,Diploma,45.5,No
AP0023,10.1,Diploma,92.0,Yes
AP0024,7.4,PG,72.6,Yes
AP0025,5.0,Diploma,71.6,No
AP0026,11.5,PhD,92.7,Yes
AP0027,5.5,UG,53.3,No
AP0028,10.1,PG,52.9,Yes
AP0029,6.2,Diploma,49.7,No
AP0030,4.8,PhD,62.2,No
AP0031,10.9,Diploma,51.3,No
AP0032,14.3,PhD,58.9,Yes
AP0033,,UG,62.0,No
AP0034,1.8,Diploma,48.8,No
AP0035,2.4,UG,77.8,Yes
AP0036,4.5,PG,64.7,No
AP0037,3.1,Diploma,65.2,
AP0038,1.9,UG,51.7,No
AP0039,5.1,PG,65.1,No
AP0040,3.6,UG,70.0,No
AP0041,13.2,PG,81.5,Yes
AP0042,1.5,UG,76.8,No
AP0043,2.6,Diploma,80.1,No
AP0044,3.1,UG,58.7,No
AP0045,0.9,PG,69.8,No
AP0046,2.7,Diploma,83.9,Yes
AP0047,1.6,Diploma,92.6,Yes
AP0048,3.4,UG,50.0,No
AP0049,14.1,PhD,57.0,No
AP0050,12.6,PG,50.9,No
AP0051,0.0,PhD,49.3,No
AP0052,8.7,PG,97.2,Yes
AP0053,4.9,UG,46.6,No
AP0054,13.6,Diploma,60.3,No
AP0055,2.5,UG,76.4,No
AP0056,10.9,Diploma,51.8,No
AP0057,14.4,PhD,72.9,Yes
AP0058,3.4,Diploma,59.5,No
AP0059,0.2,PhD,72.4,Yes
AP0060,11.4,UG,87.8,Yes
AP0061,12.5,UG,86.5,Yes
AP0062,0.8,PG,56.5,No
AP0063,5.1,PG,91.6,Yes
AP0064,5.0,Diploma,96.0,Yes
AP0065,8.3,PhD,54.3,No
AP0066,3.0,PG,61.2,No
AP0067,12.1,PG,48.3,No
AP0068,9.8,Diploma,63.3,Yes
AP0069,11.0,UG,57.7,Yes
AP0070,8.8,PG,54.8,No
AP0071,6.8,PG,77.6,Yes
AP0072,0.4,PG,80.4,Yes
AP0073,8.7,PG,79.8,Yes
AP0074,9.1,Diploma,48.3,No
AP0075,14.5,UG,65.5,No
AP0076,5.0,PG,79.8,Yes
AP0077,7.2,Diploma,76.7,Yes
AP0078,5.6,UG,47.7,No
AP0079,12.2,Diploma,85.5,Yes
AP0080,5.5,Diploma,96.2,Yes
AP0081,0.1,PG,57.7,No
AP0082,3.2,Diploma,73.8,Yes
AP0083,0.2,PG,64.1,Yes
AP0084,12.9,UG,70.9,Yes
AP0085,14.4,PG,76.2,Yes
AP0086,14.8,PhD,48.9,No
AP0087,5.1,PG,74.6,Yes
AP0088,14.6,PhD,58.5,Yes
AP0089,12.4,UG,68.6,Yes
AP0090,0.3,PG,72.1,No
AP0091,7.4,PhD,46.0,No
AP0092,11.0,PhD,81.9,Yes
AP0093,0.7,Diploma,45.7,No
AP0094,4.6,PhD,58.4,No
AP0095,13.3,PhD,62.5,Yes
AP0096,1.9,UG,87.1,Yes
AP0097,14.2,UG,88.6,Yes
AP0098,1.8,PG,57.8,No
AP0099,9.3,UG,54.0,No
AP0100,1.1,UG,86.7,Yes
AP0101,5.4,PhD,97.5,Yes
AP0102,13.9,PhD,88.5,Yes
AP0103,3.6,Diploma,68.0,No
AP0104,6.5,PhD,87.5,Yes
AP0105,8.7,PG,95.9,Yes
AP0106,7.6,PG,72.2,
AP0107,5.5,PG,68.3,Yes
AP0108,13.6,PG,75.3,Yes
AP0109,1.6,Diploma,88.8,Yes
AP0110,13.6,PG,59.8,No
AP0111,7.1,UG,69.6,No
AP0112,0.1,Diploma,76.8,No
AP0113,0.5,UG,75.8,No
AP0114,14.3,PG,97.0,Yes
AP0115,9.4,PhD,74.1,Yes
AP0116,14.8,UG,87.0,Yes
AP0117,3.6,UG,89.0,Yes
AP0118,8.9,PhD,66.6,Yes
AP0119,4.3,Diploma,55.8,No
AP0120,0.9,PG,88.2,Yes
AP0055,2.5,UG,76.4,No
AP0090,0.3,PG,72.1,No
AP0040,3.6,UG,70.0,No
