application_id,experience_years,education,skill_match_score,shortlisted,skill_match_percentage,experience_band,shortlisted_numeric,skill_band
AP0001,5.5,PhD,76.1,Yes,76.1,6-10 Years,1,71-85%
AP0002,12.8,UG,92.6,Yes,92.6,10+ Years,1,86-100%
AP0003,10.4,PG,67.2,Yes,67.2,10+ Years,1,51-70%
AP0004,4.4,PG,57.3,No,57.3,3-5 Years,0,51-70%
AP0005,3.4,PG,47.0,No,47.0,3-5 Years,0,0-50%
AP0006,6.5,Diploma,53.6,No,53.6,6-10 Years,0,51-70%
AP0007,8.4,Diploma,81.3,No,81.3,6-10 Years,0,71-85%
AP0008,7.6,PhD,79.0,Yes,79.0,6-10 Years,1,71-85%
AP0009,14.6,PG,82.9,Yes,82.9,10+ Years,1,71-85%
AP0010,4.1,PhD,80.4,Yes,80.4,3-5 Years,1,71-85%
AP0011,12.2,UG,68.6,Yes,68.6,10+ Years,1,51-70%
AP0012,8.1,PG,57.2,No,57.2,6-10 Years,0,51-70%
AP0013,6.3,PhD,64.0,No,64.0,6-10 Years,0,51-70%
AP0014,10.5,UG,74.2,Yes,74.2,10+ Years,1,71-85%
AP0015,4.6,UG,76.7,No,76.7,3-5 Years,0,71-85%
AP0016,7.7,Diploma,71.8,No,71.8,6-10 Years,0,71-85%
AP0017,5.1,PG,91.6,Yes,91.6,6-10 Years,1,86-100%
AP0018,4.7,Diploma,49.3,No,49.3,3-5 Years,0,0-50%
AP0019,2.9,UG,88.8,Yes,88.8,3-5 Years,1,86-100%
AP0020,7.6,Diploma,76.3,Yes,76.3,6-10 Years,1,71-85%
AP0021,2.4,PG,97.0,Yes,97.0,3-5 Years,1,86-100%
AP0022,12.1,Diploma,45.5,No,45.5,10+ Years,0,0-50%
AP0023,10.1,Diploma,92.0,Yes,92.0,10+ Years,1,86-100%
AP0024,7.4,PG,72.6,Yes,72.6,6-10 Years,1,71-85%
AP0025,5.0,Diploma,71.6,No,71.6,3-5 Years,0,71-85%
AP0026,11.5,PhD,92.7,Yes,92.7,10+ Years,1,86-100%
AP0027,5.5,UG,53.3,No,53.3,6-10 Years,0,51-70%
AP0028,10.1,PG,52.9,Yes,52.9,10+ Years,1,51-70%
AP0029,6.2,Diploma,49.7,No,49.7,6-10 Years,0,0-50%
AP0030,4.8,PhD,62.2,No,62.2,3-5 Years,0,51-70%
AP0031,10.9,Diploma,51.3,No,51.3,10+ Years,0,51-70%
AP0032,14.3,PhD,58.9,Yes,58.9,10+ Years,1,51-70%
AP0033,6.3,UG,62.0,No,62.0,6-10 Years,0,51-70%
AP0034,1.8,Diploma,48.8,No,48.8,0-2 Years,0,0-50%
AP0035,2.4,UG,77.8,Yes,77.8,3-5 Years,1,71-85%
AP0036,4.5,PG,64.7,No,64.7,3-5 Years,0,51-70%
AP0038,1.9,UG,51.7,No,51.7,0-2 Years,0,51-70%
AP0039,5.1,PG,65.1,No,65.1,6-10 Years,0,51-70%
AP0040,3.6,UG,70.0,No,70.0,3-5 Years,0,51-70%
AP0041,13.2,PG,81.5,Yes,81.5,10+ Years,1,71-85%
AP0042,1.5,UG,76.8,No,76.8,0-2 Years,0,71-85%
AP0043,2.6,Diploma,80.1,No,80.1,3-5 Years,0,71-85%
AP0044,3.1,UG,58.7,No,58.7,3-5 Years,0,51-70%
AP0045,0.9,PG,69.8,No,69.8,0-2 Years,0,51-70%
AP0046,2.7,Diploma,83.9,Yes,83.9,3-5 Years,1,71-85%
AP0047,1.6,Diploma,92.6,Yes,92.6,0-2 Years,1,86-100%
AP0048,3.4,UG,50.0,No,50.0,3-5 Years,0,0-50%
AP0049,14.1,PhD,57.0,No,57.0,10+ Years,0,51-70%
AP0050,12.6,PG,50.9,No,50.9,10+ Years,0,51-70%
AP0051,0.0,PhD,49.3,No,49.3,0-2 Years,0,0-50%
AP0052,8.7,PG,97.2,Yes,97.2,6-10 Years,1,86-100%
AP0053,4.9,UG,46.6,No,46.6,3-5 Years,0,0-50%
AP0054,13.6,Diploma,60.3,No,60.3,10+ Years,0,51-70%
AP0055,2.5,UG,76.4,No,76.4,3-5 Years,0,71-85%
AP0056,10.9,Diploma,51.8,No,51.8,10+ Years,0,51-70%
AP0057,14.4,PhD,72.9,Yes,72.9,10+ Years,1,71-85%
AP0058,3.4,Diploma,59.5,No,59.5,3-5 Years,0,51-70%
AP0059,0.2,PhD,72.4,Yes,72.4,0-2 Years,1,71-85%
AP0060,11.4,UG,87.8,Yes,87.8,10+ Years,1,86-100%
AP0061,12.5,UG,86.5,Yes,86.5,10+ Years,1,86-100%
AP0062,0.8,PG,56.5,No,56.5,0-2 Years,0,51-70%
AP0063,5.1,PG,91.6,Yes,91.6,6-10 Years,1,86-100%
AP0064,5.0,Diploma,96.0,Yes,96.0,3-5 Years,1,86-100%
AP0065,8.3,PhD,54.3,No,54.3,6-10 Years,0,51-70%
AP0066,3.0,PG,61.2,No,61.2,3-5 Years,0,51-70%
AP0067,12.1,PG,48.3,No,48.3,10+ Years,0,0-50%
AP0068,9.8,Diploma,63.3,Yes,63.3,6-10 Years,1,51-70%
AP0069,11.0,UG,57.7,Yes,57.7,10+ Years,1,51-70%
AP0070,8.8,PG,54.8,No,54.8,6-10 Years,0,51-70%
AP0071,6.8,PG,77.6,Yes,77.6,6-10 Years,1,71-85%
AP0072,0.4,PG,80.4,Yes,80.4,0-2 Years,1,71-85%
AP0073,8.7,PG,79.8,Yes,79.8,6-10 Years,1,71-85%
AP0074,9.1,Diploma,48.3,No,48.3,6-10 Years,0,0-50%
AP0075,14.5,UG,65.5,No,65.5,10+ Years,0,51-70%
AP0076,5.0,PG,79.8,Yes,79.8,3-5 Years,1,71-85%
AP0077,7.2,Diploma,76.7,Yes,76.7,6-10 Years,1,71-85%
AP0078,5.6,UG,47.7,No,47.7,6-10 Years,0,0-50%
AP0079,12.2,Diploma,85.5,Yes,85.5,10+ Years,1,86-100%
AP0080,5.5,Diploma,96.2,Yes,96.2,6-10 Years,1,86-100%
AP0081,0.1,PG,57.7,No,57.7,0-2 Years,0,51-70%
AP0082,3.2,Diploma,73.8,Yes,73.8,3-5 Years,1,71-85%
AP0083,0.2,PG,64.1,Yes,64.1,0-2 Years,1,51-70%
AP0084,12.9,UG,70.9,Yes,70.9,10+ Years,1,71-85%
AP0085,14.4,PG,76.2,Yes,76.2,10+ Years,1,71-85%
AP0086,14.8,PhD,48.9,No,48.9,10+ Years,0,0-50%
AP0087,5.1,PG,74.6,Yes,74.6,6-10 Years,1,71-85%
AP0088,14.6,PhD,58.5,Yes,58.5,10+ Years,1,51-70%
AP0089,12.4,UG,68.6,Yes,68.6,10+ Years,1,51-70%
AP0090,0.3,PG,72.1,No,72.1,0-2 Years,0,71-85%
AP0091,7.4,PhD,46.0,No,46.0,6-10 Years,0,0-50%
AP0092,11.0,PhD,81.9,Yes,81.9,10+ Years,1,71-85%
AP0093,0.7,Diploma,45.7,No,45.7,0-2 Years,0,0-50%
AP0094,4.6,PhD,58.4,No,58.4,3-5 Years,0,51-70%
AP0095,13.3,PhD,62.5,Yes,62.5,10+ Years,1,51-70%
AP0096,1.9,UG,87.1,Yes,87.1,0-2 Years,1,86-100%
AP0097,14.2,UG,88.6,Yes,88.6,10+ Years,1,86-100%
AP0098,1.8,PG,57.8,No,57.8,0-2 Years,0,51-70%
AP0099,9.3,UG,54.0,No,54.0,6-10 Years,0,51-70%
AP0100,1.1,UG,86.7,Yes,86.7,0-2 Years,1,86-100%
AP0101,5.4,PhD,97.5,Yes,97.5,6-10 Years,1,86-100%
AP0102,13.9,PhD,88.5,Yes,88.5,10+ Years,1,86-100%
AP0103,3.6,Diploma,68.0,No,68.0,3-5 Years,0,51-70%
AP0104,6.5,PhD,87.5,Yes,87.5,6-10 Years,1,86-100%
AP0105,8.7,PG,95.9,Yes,95.9,6-10 Years,1,86-100%
AP0107,5.5,PG,68.3,Yes,68.3,6-10 Years,1,51-70%
AP0108,13.6,PG,75.3,Yes,75.3,10+ Years,1,71-85%
AP0109,1.6,Diploma,88.8,Yes,88.8,0-2 Years,1,86-100%
AP0110,13.6,PG,59.8,No,59.8,10+ Years,0,51-70%
AP0111,7.1,UG,69.6,No,69.6,6-10 Years,0,51-70%
AP0112,0.1,Diploma,76.8,No,76.8,0-2 Years,0,71-85%
AP0113,0.5,UG,75.8,No,75.8,0-2 Years,0,71-85%
AP0114,14.3,PG,97.0,Yes,97.0,10+ Years,1,86-100%
AP0115,9.4,PhD,74.1,Yes,74.1,6-10 Years,1,71-85%
AP0116,14.8,UG,87.0,Yes,87.0,10+ Years,1,86-100%
AP0117,3.6,UG,89.0,Yes,89.0,3-5 Years,1,86-100%
AP0118,8.9,PhD,66.6,Yes,66.6,6-10 Years,1,51-70%
AP0119,4.3,Diploma,55.8,No,55.8,3-5 Years,0,51-70%
AP0120,0.9,PG,88.2,Yes,88.2,0-2 Years,1,86-100%
